task,l_target,depth,width,lr,params,train_loss,test_loss,test_acc,loss_5,loss_20,loss_50,loss_100
cycle,3,2,32,0.01,4354,0.2510687017440796,0.09996080470085145,0.9834,0.28960912096500396,0.27600621461868285,0.2678521132469177,0.2678927283287048
path,3,6,16,0.001,4386,0.010471398938447236,0.017623492449522018,0.997775,0.47899470949172973,0.21408254778385163,0.11423495179414749,0.02812291333079338
indset4,3,8,16,0.005,5954,0.0,0.0,1.0,0.0,0.0,0.0,0.0
k4,3,8,16,0.01,5986,0.5140363507270813,1.1551537265777587,0.238125,0.5507659726142883,0.5435746688842773,0.5385128655433655,0.5197938151359558
cycle,3,5,32,0.005,13762,0.06429555854201317,0.18119074249267578,0.98385,0.2931048798561096,0.23974955356121064,0.210281277179718,0.1627734670639038
path,3,7,32,0.01,20098,0.010363399431109428,0.23439334762096406,0.98265,0.24337290978431703,0.06086942699551583,0.04957433143258095,0.023768249452114105
cycle,3,3,16,0.001,1954,0.242624144077301,0.10546706086397171,0.9841,0.31378324127197266,0.27040434670448305,0.2602847615480423,0.25139433550834656
indset4,3,3,8,0.01,530,0.0,0.0,1.0,0.0002033453433541581,1.1229513731336737e-08,0.0,0.0
path,3,3,64,0.005,29442,0.16718564766645433,0.10597604256868362,0.997775,0.2209473876953125,0.18530144119262695,0.17837221705913545,0.17476840341091157
cycle,3,1,64,0.01,4482,0.2782466642856598,0.11996728122234344,0.983325,0.2944048755168915,0.282935042142868,0.2813327761888504,0.2804251472949982
cycle,3,6,64,0.005,66562,0.0716693109869957,0.12429131877422332,0.980525,0.42390072298049924,0.2520342643260956,0.22412738156318665,0.17984114491939546
path,3,4,64,0.01,41858,0.09349160081148147,0.2375218243598938,0.98265,0.2542678644657135,0.13684358817338943,0.11726705300807953,0.10170402497053146
k4,3,7,8,0.001,1378,0.5499228177070618,1.1703331022262573,0.238125,0.5501018562316895,0.5500444145202636,0.5500819416046142,0.550267825126648
path,3,1,8,0.001,130,0.24320902609825135,0.09564163219928741,0.998225,0.4401195318698883,0.2914357569217682,0.2472466688156128,0.24466989076137544
cycle,3,8,16,0.001,5954,0.17160600978136062,0.12300422632694244,0.98405,0.40857782793045044,0.2754706988334656,0.2494839744567871,0.2155828688144684
k4,3,3,16,0.01,1986,0.5168243727684021,1.1974659585952758,0.23845,0.543813681602478,0.5289398369789123,0.5229693458080292,0.5210723762512207
indset4,3,4,16,0.01,2754,0.0,0.0,1.0,2.3975536296347855e-06,4.041415979827434e-07,6.963605369492143e-08,1.3166664405872552e-08
indset4,3,5,8,0.005,946,5.614756954486211e-09,2.7418134784795713e-10,1.0,2.6202104963886084e-05,1.4877501234877855e-06,2.199763817998246e-07,4.3803434152778206e-08
indset4,3,5,32,0.001,13762,0.0,0.0,1.0,0.00025932897222810425,5.614757053962194e-09,0.0,0.0
indset4,3,3,16,0.005,1954,0.0,0.0,1.0,1.10302361426875e-05,7.952503715387138e-07,1.175700074895758e-07,2.2459026475019072e-08
k4,3,2,32,0.001,4418,0.5362813091278076,1.2193055896759033,0.238125,0.5493814039230347,0.5420687403678894,0.5390830550193787,0.5369932117462158
k4,3,4,16,0.005,2786,0.498524521112442,1.1540730123519898,0.23845,0.5429393754005433,0.531890326499939,0.5188931846618652,0.5107224814891815
cycle,3,6,8,0.001,1154,0.24670255064964294,0.0889724041223526,0.983575,0.403497239112854,0.27337367486953734,0.2670128936767578,0.256565021276474
